id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season
creativity_001,Охота за цветом,Сортировка предметов по цвету,Ребенок ищет по дому мелкие предметы нужных цветов и раскладывает их по цветным кругам на листе бумаги.,"Нарисуйте на листе цветные круги | Попросите ребенка найти в комнате предметы каждого цвета и положить на соответствующий круг","Лист бумаги с цветными кругами,любые предметы разных цветов",10,easy,3-5,creativity,"распознавание цветов,сортировка,наблюдательность",indoor,"цвет,моторика,игра",false,any
creativity_002,Архитектор башен,Строительство высокой башни,"Ребенок строит башню из стаканчиков и втулок, исследуя устойчивость конструкции.","Дайте ребенку материалы и предложите построить самую высокую и устойчивую башню | Пробуйте разные варианты","Пластиковые/бумажные стаканчики,втулки от туалетной бумаги",15,medium,3-5,creativity,"пространственное мышление,мелкая моторика,креативность",indoor,"строительство,баланс,башня",false,any
creativity_003,Спасательная экспедиция,Поиск игрушек в крупе,Игрушки прячутся в контейнер с крупой. Ребенок находит их ложкой или руками.,"Спрячьте мелкие игрушки в крупе | Пусть ребенок находит их с помощью ложки или рук","Контейнер,крупа,мелкие игрушки,ложка",10,easy,3-5,creativity,"поиск,терпение,мелкая моторика",indoor,"раскопки,игра,спасение",false,any
creativity_004,Бусы для великана,Нанизывание макарон на шнурок,"Ребенок делает длинные бусы, нанизывая макароны на шнурок.","Дайте ребенку шнурок и макароны | Покажите, как делать бусы, и предложите сделать как можно длиннее","Шнурок с жёстким концом,макароны-трубочки",10,easy,3-5,creativity,"мелкая моторика,координация,сосредоточенность",indoor,"бусы,нанизывание,игра",false,any
creativity_005,Кормление монстрика,Игра с коробкой и предметами,"Ребенок кормит монстрика, засовывая в его 'рот' мелкие предметы.","Сделайте 'монстрика' из коробки | Предложите ребенку 'покормить' его — класть предметы в прорезь","Картонная коробка,ножницы,помпоны,пуговицы и т.д.",10,easy,3-5,creativity,"точность движений,внимание,сюжетность",indoor,"монстрик,моторика,игра",false,any
creativity_006,Театр из носков,Кукольное представление из носков,Носки превращаются в персонажей. Ребенок придумывает сценки и выступает.,"Наденьте носки на руки, нарисуйте или пришейте глаза | Устройте спектакль","Старые носки,фломастеры,пуговицы (по желанию)",20,medium,3-5,creativity,"воображение,речь,сюжетность",indoor,"театр,носки,история",false,any
creativity_007,Город из коробок,Постройка города из коробок,"Ребенок строит город, превращая коробки в дома, магазины, школы.","Разложите коробки, дайте имена зданиям, заселите их игрушками","Картонные коробки,игрушки",20,medium,3-5,creativity,"творческое мышление,сюжетная игра,воображение",indoor,"город,коробки,игра",false,any
creativity_008,Рисование на подносе,Пальчиковое рисование по манке или соли,"Ребенок рисует пальцем на подносе, покрытом тонким слоем крупы.","Насыпьте тонкий слой соли/манки | Предложите ребенку рисовать пальцем или палочкой","Поднос,манка или соль",10,easy,3-5,creativity,"тактильные ощущения,моторика,воображение",indoor,"рисование,манка,игра",false,any
creativity_009,Создание комикса,Придумай и нарисуй свою собственную историю в картинках,"Ребенок создает собственную историю в виде комикса с персонажами и диалогами. Развивает творческое мышление и навыки рассказывания.","Придумайте главного героя и его приключение | Нарисуйте историю по кадрам | Добавьте диалоги в облачках | Раскрасьте готовый комикс","Бумага,карандаши,фломастеры,ластик",60,easy,9-12,creativity,"творческое мышление,повествование,рисование",indoor,"комикс,история,рисование",false,any
creativity_010,Оригами,Искусство складывания бумаги,"Изучение японского искусства оригами. Создание фигурок животных, цветов и других объектов из одного листа бумаги без клея и ножниц.","Выберите простую схему для начинающих | Возьмите квадратный лист бумаги | Следуйте пошаговым инструкциям | Аккуратно складывайте по линиям","Цветная бумага,схемы оригами",30,easy,9-12,creativity,"мелкая моторика,следование инструкциям,терпение",indoor,"оригами,япония,складывание",false,any
creativity_011,Рисование карты,Создание карты вымышленного мира,"Ребенок рисует детальную карту выдуманной страны с горами, реками, городами и достопримечательностями.","Придумайте название для своей страны | Нарисуйте контуры земли | Добавьте горы, реки и леса | Отметьте города и дороги | Создайте легенду карты","Большой лист бумаги,цветные карандаши,линейка",45,medium,9-12,creativity,"пространственное мышление,планирование,воображение",indoor,"карта,география,фантазия",false,any
creativity_012,Театр теней,Представление с тенями на стене,"Создание театра теней с помощью света и вырезанных фигурок. Постановка собственных спектаклей.","Установите лампу перед белой стеной | Вырежьте фигурки из картона | Прикрепите к палочкам | Придумайте историю и покажите спектакль","Картон,ножницы,палочки,лампа,белая простыня",40,medium,9-12,creativity,"театральные навыки,воображение,координация",indoor,"театр,тени,спектакль",false,any
creativity_013,Создание флипбука,Анимация в книжке,"Создание простой анимации в виде флипбука - книжки с рисунками, которые оживают при быстром перелистывании.","Возьмите стопку маленьких листов | Нарисуйте первый кадр на последней странице | На каждой следующей странице немного измените рисунок | Скрепите и быстро пролистывайте","Маленькие листы бумаги,карандаш,скрепки",45,medium,9-12,creativity,"понимание движения,последовательность,терпение",indoor,"анимация,флипбук,движение",false,any
creativity_014,Ведение дневника,Разберись в своих мыслях и чувствах,"Ведение личного дневника помогает подросткам выражать свои мысли, анализировать переживания и развивать рефлексивное мышление.","Выберите красивую тетрадь или блокнот | Каждый день записывайте свои мысли и события | Можете добавлять рисунки или вклеивать фото | Перечитывайте записи через время","Тетрадь,ручка,цветные карандаши",20,easy,13-17,creativity,"рефлексия,письменная речь,самоанализ",indoor,"дневник,мысли,саморазвитие",false,any
creativity_015,Скетчинг,Быстрые зарисовки окружающего мира,"Обучение технике быстрого рисования. Зарисовка людей, зданий, природы и повседневных объектов.","Возьмите блокнот и карандаш на прогулку | Выберите интересный объект | Быстро набросайте основные формы | Добавьте детали и тени | Тренируйтесь каждый день","Скетчбук,карандаши разной мягкости,ластик",30,easy,13-17,creativity,"наблюдательность,техника рисования,быстрота",any,"скетчинг,рисование,наблюдение",false,any
