id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season
creativity_001,Рисование пальцами,Рисуй красивые картины без кисточек!,Замечательный способ развить творческие способности и мелкую моторику. Дети обожают рисовать руками! Это безопасная и веселая активность для самых маленьких.,Приготовь краски и бумагу | Обмакни пальчик в краску | Рисуй что хочешь на бумаге | Создавай узоры и картины | Вымой руки когда закончишь,"краски,бумага,вода,салфетки",20,easy,"3-5,6-8",creativity,"творчество,мелкая моторика,самовыражение",indoor,"рисование,творчество,быстро",false,any
active_games_001,Домашние препятствия,Прыгай и ползай через мебельную полосу препятствий!,Создай увлекательную полосу препятствий из домашней мебели. Отличная кардиотренировка для детей в любую погоду. Развивает координацию и выносливость.,Поставь стулья в ряд | Разложи подушки на полу | Проползи под стульями | Прыгни через подушки | Обойди препятствия змейкой | Засеки время и попробуй улучшить результат,"стулья,подушки,секундомер",15,medium,"6-8,9-12",active_games,"координация,ловкость,выносливость",indoor,"спорт,препятствия,дома",false,any
cooking_001,Веселые бутерброды,Создай съедобные произведения искусства!,Простой способ привлечь детей к готовке и развить их творческие способности. Учимся работать с продуктами и создавать красивые блюда.,Возьми хлеб и намажь маслом | Нарежь овощи кружочками | Создай рожицы из овощей на хлебе | Используй морковь для носа и огурец для глаз | Сделай улыбку из помидора,"хлеб,масло,морковь,огурец,помидор",25,easy,"3-5,6-8,9-12",cooking,"творчество,самостоятельность,кулинарные навыки",indoor,"еда,творчество,простое",false,any
experiments_001,Вулкан из соды,Создай извергающийся вулкан дома!,Простой и безопасный научный эксперимент который покажет детям основы химии. Развивает любознательность и интерес к науке.,Насыпь соду в бутылку | Добавь несколько капель красителя | Влей немного жидкого мыла | Медленно добавь уксус | Наблюдай за извержением вулкана!,"сода,уксус,краситель,жидкое мыло,пластиковая бутылка",10,easy,"6-8,9-12",experiments,"научное мышление,наблюдательность,химия",indoor,"наука,эксперимент,вулкан",false,any
creativity_002,Поделка из втулки,Превращаем мусор в игрушку!,Учим детей переработке и развиваем творческие способности. Создаем уникальных персонажей из простых материалов.,Обклей втулку цветной бумагой | Вырежи детали для животного | Приклей ушки и лапки | Нарисуй глазки и носик | Добавь декоративные элементы,"втулка от туалетной бумаги,цветная бумага,клей,ножницы,маркеры",30,medium,"6-8,9-12",creativity,"творчество,мелкая моторика,экология",indoor,"поделки,переработка,животные",false,any
active_games_002,Танцевальные статуи,Танцуй и замри как статуя!,Веселая игра которая развивает координацию и самоконтроль. Отличная активность для группы детей или семейного времени.,Включи энергичную музыку | Танцуй как хочешь | Когда музыка останавливается - замри статуей | Кто пошевелился - выбывает | Последний оставшийся побеждает!,"музыка,колонка или телефон",15,easy,"3-5,6-8,9-12",active_games,"координация,самоконтроль,ритм",indoor,"танцы,музыка,группа",false,any
learn_new_001,Изучаем страны мира,Путешествуй по миру не выходя из дома!,Развиваем географические знания и кругозор. Учимся находить страны на карте и узнаем интересные факты о разных культурах.,Возьми карту мира или открой на телефоне | Выбери случайную страну | Найди её флаг в интернете | Узнай 3 интересных факта о стране | Попробуй нарисовать флаг | Расскажи родителям что узнал,"карта мира,интернет,бумага,карандаши",25,medium,"9-12,13-16",learn_new,"география,кругозор,исследование",indoor,"страны,география,изучение",false,any
gifts_001,Открытка своими руками,Создай уникальную открытку для близких!,Учимся делать подарки своими руками и выражать свои чувства через творчество. Развиваем эмпатию и творческие навыки.,Сложи лист пополам | Нарисуй или вырежи сердечки | Приклей декоративные элементы | Напиши теплые слова внутри | Подари близкому человеку,"цветная бумага,ножницы,клей,маркеры,стразы",35,easy,"6-8,9-12,13-16",gifts,"творчество,эмпатия,мелкая моторика",indoor,"подарок,открытка,семья",false,any
reading_stories_001,Сочиняем сказку,Создай свою уникальную историю!,Развиваем воображение и литературные способности. Учимся структурировать мысли и создавать связные рассказы.,Придумай главного героя | Выбери место действия | Придумай проблему которую нужно решить | Сочини как герой решает проблему | Придумай счастливый конец | Расскажи сказку семье,"бумага,ручка или карандаш",30,medium,"6-8,9-12,13-16",reading_stories,"воображение,речь,литература",indoor,"сказка,творчество,история",false,any
creativity_003,Самодельный калейдоскоп,Создай магический калейдоскоп дома!,Изучаем оптику и создаем красивую игрушку. Сложная но очень интересная активность которая научит работать с инструментами.,Склей зеркала треугольником | Вставь в картонную трубку | Заклей один конец пленкой | Насыпь цветные бусины | Заклей второй конец с отверстием | Крути и наслаждайся узорами!,"3 зеркала,картонная трубка,прозрачная пленка,цветные бусины,скотч",45,hard,"9-12,13-16",creativity,"оптика,терпение,конструирование",indoor,"наука,красота,сложное",true,any
